Date,Open,High,Low,Close,Adj Close,Volume
2021-04-28,23.400000,24.090000,23.360001,23.940001,18.401289,66374200
2021-04-29,24.120001,24.290001,23.420000,23.620001,18.155323,49775900
2021-04-30,23.400000,23.930000,23.280001,23.620001,18.155323,61039200
2021-05-03,23.799999,23.809999,23.299999,23.430000,18.009281,49039900
2021-05-04,23.540001,23.639999,22.879999,22.889999,17.594213,44765000
2021-05-05,23.170000,23.950001,23.120001,23.830000,18.316738,75611900
2021-05-06,23.709999,23.850000,23.400000,23.500000,18.063086,54091600
2021-05-07,23.639999,24.450001,23.459999,24.379999,18.739491,74118200
2021-05-10,24.799999,24.980000,24.580000,24.700001,18.985456,73804500
2021-05-11,24.440001,25.170000,24.320000,25.150000,19.331345,73729900
2021-05-12,24.950001,25.530001,24.690001,24.780001,19.046947,89980700
2021-05-13,24.760000,25.100000,24.430000,24.990000,19.208363,77282100
2021-05-14,25.799999,26.379999,25.549999,26.299999,20.215282,196135500
2021-05-17,26.299999,26.660000,26.200001,26.660000,20.491995,83512600
2021-05-18,26.700001,26.799999,26.270000,26.350000,20.253716,63510600
2021-05-19,25.850000,26.350000,25.799999,26.150000,20.099987,84700500
2021-05-20,26.150000,26.280001,25.719999,25.930000,19.930885,71371100
2021-05-21,26.080000,26.309999,25.940001,25.950001,19.946260,82884500
2021-05-24,26.280001,26.520000,25.990000,26.389999,20.284460,63029600
2021-05-25,26.480000,26.620001,25.780001,25.840000,19.861708,63672000
2021-05-26,25.910000,26.180000,25.650000,26.090000,20.053871,46646900
2021-05-27,26.080000,26.250000,25.770000,25.910000,19.915514,48877800
2021-05-28,26.200001,27.020000,26.150000,26.990000,20.745647,129526400
2021-05-31,26.959999,27.200001,26.780001,26.870001,20.653410,46298900
2021-06-01,27.400000,27.700001,27.010000,27.290001,20.976240,90744900
2021-06-02,27.350000,28.070000,27.260000,27.870001,21.422052,103985100
2021-06-04,28.059999,28.620001,27.920000,28.500000,21.906296,102757300
2021-06-07,28.500000,28.549999,28.010000,28.290001,21.744883,74548900
2021-06-08,28.170000,28.799999,27.959999,28.660000,22.029280,88398600
2021-06-09,28.719999,29.080000,28.520000,28.660000,22.029280,60724200
2021-06-10,28.830000,29.030001,28.570000,28.680000,22.044651,35871000
2021-06-11,28.799999,28.850000,28.260000,28.570000,21.960102,54894400
2021-06-14,28.900000,29.350000,28.610001,28.750000,22.098457,64286600
2021-06-15,28.959999,29.059999,28.629999,29.030001,22.313677,42597100
2021-06-16,29.080000,29.290001,28.770000,29.139999,22.398228,77432900
2021-06-17,29.010000,29.200001,27.910000,28.129999,21.621899,95264600
2021-06-18,28.000000,28.420000,27.639999,28.320000,21.767939,115250700
2021-06-21,28.400000,29.000000,28.400000,28.950001,22.252186,50709600
2021-06-22,29.000000,29.270000,28.670000,29.100000,22.367483,41602700
2021-06-23,29.250000,29.520000,29.000000,29.299999,22.521208,57278500
2021-06-24,29.490000,29.650000,29.219999,29.650000,22.790234,51447000
2021-06-25,29.690001,29.790001,28.950001,29.100000,22.367483,84950900
2021-06-28,29.180000,29.270000,28.670000,29.049999,22.329048,40341200
2021-06-29,29.090000,29.180000,28.740000,29.180000,22.428972,43215200
2021-06-30,29.030001,29.570000,28.920000,29.430000,22.621134,71367600
2021-07-01,29.740000,29.879999,28.920000,29.059999,22.336737,65084000
2021-07-02,29.299999,29.379999,28.730000,29.180000,22.428972,37336700
2021-07-05,29.010000,29.160000,28.370001,28.850000,22.175320,56028600
2021-07-06,28.700001,28.799999,27.670000,27.670000,21.268324,97839700
2021-07-07,28.150000,28.150000,27.410000,28.049999,21.560406,73793500
2021-07-08,27.400000,27.680000,27.270000,27.490000,21.129969,80574200
2021-07-12,27.580000,27.780001,27.280001,27.730000,21.314440,53001200
2021-07-13,27.559999,27.969999,27.379999,27.900000,21.445110,41594300
2021-07-14,28.100000,28.200001,27.540001,27.670000,21.268324,51654600
2021-07-15,27.490000,27.629999,26.920000,27.080000,20.814825,67982600
2021-07-16,27.230000,27.379999,26.580000,26.680000,20.507370,69024100
2021-07-19,25.969999,26.450001,25.860001,26.240000,20.169163,80087700
2021-07-20,26.190001,26.940001,25.910000,26.590000,20.438190,63408800
2021-07-21,26.790001,27.240000,26.590000,26.959999,20.722586,51116600
2021-07-22,27.000000,27.219999,26.709999,26.900000,20.676470,37736500
2021-07-23,27.100000,27.170000,26.680000,26.740000,20.553484,34025500
2021-07-26,26.740000,27.469999,26.719999,27.469999,21.114594,46802600
2021-07-27,27.350000,27.400000,26.900000,27.150000,20.868629,51901800
2021-07-28,27.430000,27.900000,27.200001,27.709999,21.299068,46727100
2021-07-29,27.799999,27.920000,27.500000,27.809999,21.375933,43916600
2021-07-30,27.600000,27.830000,26.830000,26.910000,20.684155,74150400
2021-08-02,27.200001,27.410000,26.370001,26.410000,20.299835,70528800
2021-08-03,26.360001,26.870001,25.790001,26.850000,20.638037,71850400
2021-08-04,26.549999,26.770000,25.950001,26.280001,20.199909,87970600
2021-08-05,28.750000,28.980000,28.059999,28.350000,21.791000,223915900
2021-08-06,28.500000,28.540001,28.020000,28.389999,21.821745,51106100
2021-08-09,27.950001,28.209999,27.670000,28.190001,21.668016,75381900
2021-08-10,28.299999,28.780001,28.240000,28.280001,21.737194,84380900
2021-08-11,28.160000,28.990000,27.969999,28.670000,22.036964,97863500
2021-08-12,28.660000,29.190001,28.500000,29.100000,22.367483,95319300
2021-08-13,29.059999,29.610001,29.020000,29.350000,22.559641,85201800
2021-08-16,29.200001,29.240000,28.240000,28.639999,22.013906,101262100
2021-08-17,26.840000,27.629999,26.450001,27.030001,22.013834,93623700
2021-08-18,27.030001,27.309999,26.650000,26.790001,21.818373,86103100
2021-08-19,26.260000,26.870001,26.129999,26.639999,21.696207,80808200
2021-08-20,26.400000,26.629999,26.170000,26.600000,21.663631,88445600
2021-08-23,26.940001,27.309999,26.770000,27.020000,22.005690,70161500
2021-08-24,27.290001,27.629999,27.240000,27.580000,22.461765,49831400
2021-08-25,27.629999,27.830000,27.379999,27.730000,22.583927,46031200
2021-08-26,27.580000,27.879999,27.469999,27.490000,22.388468,41061300
2021-08-27,27.700001,28.490000,27.670000,28.490000,23.202888,76465300
2021-08-30,28.400000,28.709999,28.260000,28.299999,23.048149,61054000
2021-08-31,28.200001,28.230000,26.990000,27.190001,22.144140,110574300
2021-09-01,27.320000,27.340000,26.330000,27.040001,22.021978,69430400
2021-09-02,27.000000,27.350000,26.459999,26.600000,21.663631,56052000
2021-09-03,26.650000,26.780001,26.100000,26.330000,21.443737,58182700
2021-09-06,26.209999,26.709999,26.150000,26.459999,21.549610,26770700
2021-09-08,26.290001,26.350000,24.790001,24.969999,20.336123,80378400
2021-09-09,25.080000,25.879999,24.139999,25.500000,20.767767,156617100
2021-09-10,26.020000,26.139999,25.330000,25.340000,20.637459,78379900
2021-09-13,25.799999,26.389999,25.639999,26.230000,21.362295,63317900
2021-09-14,25.950001,26.250000,25.719999,25.879999,21.077246,65497300
2021-09-15,26.000000,26.459999,25.870001,26.330000,21.443737,67274100
2021-09-16,26.080000,26.240000,25.510000,26.100000,21.256420,65567700
2021-09-17,25.969999,26.020000,24.770000,24.930000,20.303545,131694100
2021-09-20,24.080000,24.650000,23.790001,24.650000,20.075508,80260600
2021-09-21,25.080000,25.290001,24.530001,25.209999,20.531584,64570200
2021-09-22,25.530001,26.219999,25.520000,25.850000,21.052814,70231800
2021-09-23,25.950001,26.950001,25.910000,26.840000,21.859093,84480600
2021-09-24,26.549999,27.059999,26.469999,26.900000,21.907959,44821500
2021-09-27,27.139999,27.459999,26.500000,27.139999,22.103418,89178700
2021-09-28,27.190001,27.889999,26.719999,26.959999,21.956821,117874300
2021-09-29,27.209999,27.530001,26.820000,27.389999,22.307024,58731700
2021-09-30,27.530001,27.580000,27.170000,27.230000,22.176716,65744000
2021-10-01,27.120001,28.000000,27.070000,28.000000,22.803822,60983200
2021-10-04,27.760000,28.809999,27.719999,28.790001,23.447218,106937000
2021-10-05,29.000000,29.469999,28.900000,29.420000,23.960302,100469100
2021-10-06,28.950001,29.170000,28.469999,28.639999,23.325052,84599400
2021-10-07,28.700001,28.980000,28.250000,28.600000,23.292477,60551100
2021-10-08,29.000000,29.610001,28.709999,29.120001,23.715975,84170500
2021-10-11,29.500000,29.850000,29.150000,29.320000,23.878859,76466700
2021-10-13,29.170000,29.700001,29.080000,29.629999,24.131330,55605400
2021-10-14,29.860001,30.219999,29.500000,29.680000,24.172052,76172700
2021-10-15,29.799999,29.840000,29.510000,29.600000,24.106899,72479900
2021-10-18,29.400000,29.639999,28.990000,29.450001,23.984735,68971300
2021-10-19,29.240000,29.320000,27.860001,28.010000,22.811966,111484000
2021-10-20,28.270000,28.799999,27.950001,28.500000,23.211033,56063300
2021-10-21,27.860001,28.180000,26.920000,27.450001,22.355890,101567700
2021-10-22,27.100000,27.760000,25.770000,27.180000,22.135996,138384700
2021-10-25,27.760000,29.309999,27.650000,29.040001,23.650822,135830600
2021-10-26,28.799999,29.230000,28.600000,28.760000,23.422783,57865600
2021-10-27,28.830000,29.059999,28.469999,28.690001,23.365774,57579200
2021-10-28,28.530001,29.250000,28.250000,28.959999,23.585667,89578000
